ayah	status	sha256	reviewer	date	note
1	verified	c4b777f2af0ed000cd0ba6f444d60a1fff39b369c9f55eaf37fae82453e0ee08	AI (double) + owner sample	2026-09-25	ADR 0006
2	verified	ac8b721f0c379ea7b3eca90f442298b1ca84dde38217a689e20226cd99ade350	AI (double) + owner sample	2026-09-25	ADR 0006
3	verified	aebfc47107a2dae3fcc020ace710f93c992304140da0d5682f855e782e767eca	AI (double) + owner sample	2026-09-25	ADR 0006
4	verified	7c9f79fc565b47ab351e1c970e972116df66e25f9bd2487756b75f5f89630e86	AI (double) + owner sample	2026-09-25	ADR 0006
5	verified	b089c459ac939123d990d4e660605c6438ff3e42e4d8cbe42c678c974af71a3a	AI (double) + owner sample	2026-09-25	ADR 0006
6	verified	fd7d231a8892b8b5a2332ae2abbaaa9233eed5df56d5db9fe67d5a72e3ffeaa1	AI (double) + owner sample	2026-09-25	ADR 0006
7	verified	e0d82dc2494170aa7029f79fcf612ca0390f8a549b10cd3bbbd13fe5e6695213	AI (double) + owner sample	2026-09-25	ADR 0006
8	verified	24777e62fb6c9a25baab4e96341f435a055510057746e0643048d83674526289	AI (double) + owner sample	2026-09-25	ADR 0006
9	verified	f537b041a6a0717e4ae5529f555f0f9776f374cc6a385a5a0c2fe89d16156b4a	AI (double) + owner sample	2026-09-25	ADR 0006
10	verified	f2c1f004a8ca7307252514df5a36b140eb686bf86519c2fb10369635bd68da37	AI (double) + owner sample	2026-09-25	ADR 0006
11	verified	d47ac7ae51bfca6a114575cee6c0f305e28e43938e3c4f6c9236037308c8b6b8	AI (double) + owner sample	2026-09-25	ADR 0006
12	verified	0e5473608b5c28f22f944acb97a8c6b7fe55d558f6cad73e127e53c951f0b6eb	AI (double) + owner sample	2026-09-25	ADR 0006
13	verified	8cda744478e527c5fa60e5eed2ac1c63ee6bf7e1f1b3e5a0ba95a34de609c8b0	AI (double) + owner sample	2026-09-25	ADR 0006
14	verified	2b04f64d21bc2adaf9cce3cdc80ce5cf616f7d21051ba735e10c917d32843e1b	AI (double) + owner sample	2026-09-25	ADR 0006
15	verified	75773cd51db0a1cb0482aca9f38776f527c000d31cf6797055712c0f14f80e03	AI (double) + owner sample	2026-09-25	ADR 0006
16	verified	7f01db83fb5d12fb31294a25ef6f30bd8d2c72610b40997d4ad08ecfacfb9c40	AI (double) + owner sample	2026-09-25	ADR 0006
17	verified	27a0996bae04e45e7c056079d8922181db7fcac3bf1081e017c164c637d583da	AI (double) + owner sample	2026-09-25	ADR 0006
18	verified	d174f1a94573f013b943772f831934e55433bd517869c4cce93fb60507b337e1	AI (double) + owner sample	2026-09-25	ADR 0006
19	verified	7ef4a4d76cb72fa8a1df0d4aa255dfe75dcd34523e4262f509acfe2e7715330d	AI (double) + owner sample	2026-09-25	ADR 0006
20	verified	0f69de16f61143d288d487a94a2398f3724ac6418cba432817e3df4509c3fd38	AI (double) + owner sample	2026-09-25	ADR 0006
21	verified	b109992e8f3b615169c67323ac3da0d52591328538c3b43683c5998d396cf42a	AI (double) + owner sample	2026-09-25	ADR 0006
22	verified	a590b6718bda32e71592314d40cf611f3daf2f21f5ba6a67c1bce916b4377849	AI (double) + owner sample	2026-09-25	ADR 0006
23	verified	eb8d90938413eafa3cc74ec3078e03ada517ba29c291954969e4ee8ee18159ee	AI (double) + owner sample	2026-09-25	ADR 0006
24	verified	a3b9c66098bfacdb20d1553356a24ba5b115d8af835b46df4accccdcc61f69d8	AI (double) + owner sample	2026-09-25	ADR 0006
25	verified	13fcbc318d448e545b484391467321bb258b08a175f5142de38e10396f4c857d	AI (double) + owner sample	2026-09-25	ADR 0006
26	verified	6d27e1f9015defbb4bc0c7c1571ad3d59202124945d0ff090d16fc451aa4fa51	AI (double) + owner sample	2026-09-25	ADR 0006
27	verified	7829b884f90fd84372fed6107a8e4c100950d946fb5c60615fc02a79701c8e67	AI (double) + owner sample	2026-09-25	ADR 0006
28	verified	58c08924c4c6f686ba08e67a28ac3de0d19432018bbca814332644b2b2e4baa2	AI (double) + owner sample	2026-09-25	ADR 0006
29	verified	e98e4ffc8401d90c34b774663b042feb6723259eb69d5acef3e4fc560b079467	AI (double) + owner sample	2026-09-25	ADR 0006
30	verified	18d8c4a373ae76628f7efe2fe0b58a7693572d36f46ab72c44450aa83d9ba8ec	AI (double) + owner sample	2026-09-25	ADR 0006
31	verified	6ec43f7025e8d1aa9b59194508a9cd51038c454754a2515a5c40e87e392cccc1	AI (double) + owner sample	2026-09-25	ADR 0006
32	verified	767f30edf8fb0a19559812eb50a6d19960109c0c3771eb7388c355435c76f00a	AI (double) + owner sample	2026-09-25	ADR 0006
33	verified	81fca0014f83fa538552798c35e37075117fe42871b57f5fb09a19f19850084b	AI (double) + owner sample	2026-09-25	ADR 0006
34	verified	e955fe411f68bc61f5cb3c98f8d201fd4599f9d5612e2352de1e2173770f9dc5	AI (double) + owner sample	2026-09-25	ADR 0006
35	verified	0a7115c65c8f633d56641f270e4db5d7d609348171686925d79c72fac2391aad	AI (double) + owner sample	2026-09-25	ADR 0006
36	verified	0b0023f3e138e62842bd932284648a53177a119a982e5180a59ac8cacd1a85f6	AI (double) + owner sample	2026-09-25	ADR 0006
37	verified	bab33dd69251dee3e3eb9d4272b8e1be3c217a86320f3ccdf421c41dc01eb4e2	AI (double) + owner sample	2026-09-25	ADR 0006
