ayah	status	sha256	reviewer	date	note
1	verified	8620cc4928457d011705d5f327014df69d85a90b6ed026715b606c40510ec07a	AI (double) + owner sample	2026-09-25	ADR 0006
2	verified	d441317d329e04cafaf07d3ac44137c4e779dda3a47e9f280eaf9a1c11626120	AI (double) + owner sample	2026-09-25	ADR 0006
3	verified	5ddf9c9bf49f2987c71a6040dbec5b471f3335c7cb24cd4297ce6bf8b860b21d	AI (double) + owner sample	2026-09-25	ADR 0006
4	verified	5fd2577dc7d50261ff427253b1457d2b03d3cb242aea0dc38a4b84a9d67811d9	AI (double) + owner sample	2026-09-25	ADR 0006
5	verified	a800ee3540f7394b48bbc453269690dca955e381fb3b8866e67d12b055e534dc	AI (double) + owner sample	2026-09-25	ADR 0006
6	verified	7432e82e69ef7ed40981c9267f4257b0cb8518d2a9643fa5be9c980c9174fd7f	AI (double) + owner sample	2026-09-25	ADR 0006
7	verified	a5a96016315626924d376462ffed6efbb46a1761b151d52fe8881b3a62fc2964	AI (double) + owner sample	2026-09-25	ADR 0006
8	verified	851baf53b86c3fda646bfffdf145f96dc0c30f72daedb5e87429d540f3c1d77c	AI (double) + owner sample	2026-09-25	ADR 0006
9	verified	b99d5286ea9c337c7e17c8a25c5977af290c8d09b888b5a2d587bc9320a9edb6	AI (double) + owner sample	2026-09-25	ADR 0006
10	verified	293f4e049b8ec3e1e7838707aaf0f05034604b7a5b806d35a68df5cb54f34619	AI (double) + owner sample	2026-09-25	ADR 0006
11	verified	baa2aed94c23403531a553fd031d0b35438bc13c47bf4215068a575b028cc0a8	AI (double) + owner sample	2026-09-25	ADR 0006
12	verified	c53e51ab5ccc3d865f464add1d2f98e9afe0dd04b1eaf95041f76bd057d12b87	AI (double) + owner sample	2026-09-25	ADR 0006
13	verified	2bd7cf046eac039fa0cf66360d6319aa222f660ded641f9c49525f2b68945dd3	AI (double) + owner sample	2026-09-25	ADR 0006
14	verified	28f59c9d3295e2dee95ae36120fb0b225385f0a94224c30b11c4a1bce3bd2198	AI (double) + owner sample	2026-09-25	ADR 0006
15	verified	dbfd1fddc6305d7e8c034fa9537b167571fca63bc8472c3158f9262bf7462808	AI (double) + owner sample	2026-09-25	ADR 0006
16	verified	3e3eb3d21c1c63e35d018b2eb053641cfb0aae2635dfaa9c10c287895a1cf4c6	AI (double) + owner sample	2026-09-25	ADR 0006
17	verified	36ca7e89caf091263686baba02ab5aad08915d131b62c5b6de5b93efef1ef3e7	AI (double) + owner sample	2026-09-25	ADR 0006
