ayah	status	sha256	reviewer	date	note
1	verified	eb808e0ed402c92fe5b1d9364a666ea320d108d62f55d7b5a4ed572529ea8072	AI (double) + owner sample	2026-09-25	ADR 0006
2	verified	d56b18ac2cdb49353dfb8dba2a85e08456b55c347fbfe7a7d4a82ded6e51e0b0	AI (double) + owner sample	2026-09-25	ADR 0006
3	verified	72cf11704cff10b345b5385107cdb3f715edbedc1cea4e6cac5d70c42315fb3a	AI (double) + owner sample	2026-09-25	ADR 0006; re-pinned after FINAL-REVIEW A1-A3 rulings 2026-09-26
4	verified	52466413f223e856e6e49c75325d21e6e1733a286f5c69f980e59fc7ca175696	AI (double) + owner sample	2026-09-25	ADR 0006
5	verified	dcb21becbf346455e2d7ce197f7d5af037df08f625c0c97d5d45b150b785a9ce	AI (double) + owner sample	2026-09-25	ADR 0006
6	verified	bef7c7b672cb1c732497af3bd98f14aa37e4a55e8b6eca1928401d393d529c22	AI (double) + owner sample	2026-09-25	ADR 0006
7	verified	dc756c9abbec7f741bc8e54e997e7e58d10d2a17f49260b2ad41feb465896141	AI (double) + owner sample	2026-09-25	ADR 0006
8	verified	0980bbba68a5d95761b25f7da995f17c5d9c1181a621d51813aafcaacad69bc0	AI (double) + owner sample	2026-09-25	ADR 0006
9	verified	03217108f534fe37f6124e818f262dbc0a0890f1ad897f45e6c35bfafb7c0a70	AI (double) + owner sample	2026-09-25	ADR 0006; re-pinned after final spelling choices 2026-09-26
10	verified	d41366db7cd787f092fc4a86d71d7d9abfc860050d5ddcab3704d89bfff8ba38	AI (double) + owner sample	2026-09-25	ADR 0006
11	verified	3b40fd2947f265363578aa20a25504407770035c5328193125e5c919c0698178	AI (double) + owner sample	2026-09-25	ADR 0006; re-pinned after R1 spelling rules 2026-09-26; re-pinned after final spelling choices 2026-09-26
12	verified	cc09a9b3b201ef34fdffb18af791eeec3459fdc29909ab3530fa481d6deafed9	AI (double) + owner sample	2026-09-25	ADR 0006; re-pinned after final spelling choices 2026-09-26
13	verified	e86b1d066c1de6f8a3c69ff179bc0ebfc6a919cd1f1e56f622199cd30f39039b	AI (double) + owner sample	2026-09-25	ADR 0006; re-pinned after R1 spelling rules 2026-09-26
14	verified	971b3a0d50a384baf81ab4414fa8a5e2e7acbbf90c70f7124104981c6b84349e	AI (double) + owner sample	2026-09-25	ADR 0006
15	verified	39a54fae6bc73ea55e37937d19f5d30fd81873c866e526fa44bad602dc40a63d	AI (double) + owner sample	2026-09-25	ADR 0006
16	verified	df37e84acfa43b868938961f64f3f00ec6ebf40a182ca0ee2c1d550ceef932cf	AI (double) + owner sample	2026-09-25	ADR 0006
17	verified	51d2049b9d72594728582b68312ea4fbcbb49604c7698a7f1de496f60723a467	AI (double) + owner sample	2026-09-25	ADR 0006
18	verified	0727f77017baf57a048d6081a3a3aa0562019d6d3dd1bd246e71e46e98a579ee	AI (double) + owner sample	2026-09-25	ADR 0006
19	verified	5f525c020c5e446b2b1f985753be64874fef2b9c615443af5e388048a801e4b1	AI (double) + owner sample	2026-09-25	ADR 0006; re-pinned after R1 spelling rules 2026-09-26
20	verified	fedaf1bc29400473fa493ca5a0d2fdf58af71ea3d2912437e12178f2627f4d00	AI (double) + owner sample	2026-09-25	ADR 0006
21	verified	a07bff382beb42fccbcc003cac9cfcffca76e90f099c79a72db27cf4a13feaeb	AI (double) + owner sample	2026-09-25	ADR 0006
22	verified	d1c4d1a65313a1a1140ea11596a12ce571970afaf885311faf10593275b44295	AI (double) + owner sample	2026-09-25	ADR 0006; re-pinned after owner rule taa'eed 2026-09-26
