ayah	status	sha256	reviewer	date	note
1	verified	49930938bad0c2b9403870043a9f69cd5655e094e6dbe902518f7860a16953d3	AI (double) + owner sample	2026-09-25	ADR 0006
2	verified	2366bdd393b689dd7cdc7d8635693d1afb4b81eb146579c5f811c8f32c99f5c4	AI (double) + owner sample	2026-09-25	ADR 0006
3	verified	da0cf89e066d94b170d9a37da65338b9e3f501be11b4c2305f83c652c91fcceb	AI (double) + owner sample	2026-09-25	ADR 0006
4	verified	3f3e180fe8aabeb436ebd986367605bee192e158a183faa081b90a91a25eb221	AI (double) + owner sample	2026-09-25	ADR 0006
5	verified	4de64ae2a48531b0af6d2f8da57f37f53ad2fbaa83703838ce1a8650842378a6	AI (double) + owner sample	2026-09-25	ADR 0006
6	verified	2cb958bb034ac8f8398a8460bfef02c592e5a0b92f3c3e2193f66a1c47151646	AI (double) + owner sample	2026-09-25	ADR 0006
7	verified	ef913f037c4511f6189eacab8de57a6328abe85219e8dfbeb0b484fe8f3cee4e	AI (double) + owner sample	2026-09-25	ADR 0006
8	verified	3e68e45a8cc1a907aa8cf55c1d3d028ddf13371009b9c1d61e9e86d2a4e2217f	AI (double) + owner sample	2026-09-25	ADR 0006
9	verified	0816eff156f34dd96d5c996264d9c09fb2e72ddb81ff923ffb34effb9f685cab	AI (double) + owner sample	2026-09-25	ADR 0006
10	verified	4d8d54fc1020412ae2cd6c188aa27eefe3fd079a5a9d1b0799945de3e1a822b2	AI (double) + owner sample	2026-09-25	ADR 0006
11	verified	fb6a83320fc45589537c5f775d10167b532187d51acb26f12401262bdd949a20	AI (double) + owner sample	2026-09-25	ADR 0006
12	verified	b069128dbe703d908c18a922def5109602919be53bd4a54aba54ea992bc88c2f	AI (double) + owner sample	2026-09-25	ADR 0006
13	verified	d24d2e25e6f70a04738987cd1a823d8bacedb7613a811533ee153e1d2116d6ec	AI (double) + owner sample	2026-09-25	ADR 0006
14	verified	da60e5a861df5de7bf095ccc1cb2bd06a866dba7b7f32ec5beba92af73aae518	AI (double) + owner sample	2026-09-25	ADR 0006
15	verified	a9d42edef5772feac13be5d9a0948259fd13cef16dfe7c0792032bd5b256a6f0	AI (double) + owner sample	2026-09-25	ADR 0006
16	verified	1744c52c528aaf20d5c452fdb12f0fbf13f8402f4549279d9fe2967adf732ace	AI (double) + owner sample	2026-09-25	ADR 0006
17	verified	ddaeae406a662635ce379004791985e84f87b4a16d340365e5d9c7e95a889f9e	AI (double) + owner sample	2026-09-25	ADR 0006
18	verified	fa144befbe5917e24dc1a1131fd5c99e83dbb4217864c3a04fe83b392e69ea92	AI (double) + owner sample	2026-09-25	ADR 0006
19	verified	715470b99d224c6a26146ff66d8fb7568041217c6bd6ce4e1fed338a96e3f6f3	AI (double) + owner sample	2026-09-25	ADR 0006
20	verified	dc9cf04445a8b44e5ab42405e3f5d9b32f272fe43bda27f5477c17118ff90913	AI (double) + owner sample	2026-09-25	ADR 0006
21	verified	4a86a35e85df4995f0ce95588442c7026b664ad46b3e1115626515681ca03834	AI (double) + owner sample	2026-09-25	ADR 0006
22	verified	696001670c10c1dd7bf2e65fec803e22a875ef52c84cd6c9d4e70c228d1fca45	AI (double) + owner sample	2026-09-25	ADR 0006
23	verified	691f6bceb474b6b591e94a88525942f6c57e93e3b984ac4e97735d1435b37b37	AI (double) + owner sample	2026-09-25	ADR 0006
24	verified	e2138494ab7a3d85f31330a97aaf95f936907f25a5dc21f5f27b0ba37bfc16b0	AI (double) + owner sample	2026-09-25	ADR 0006
25	verified	0b2943338b3fdb5cf1346875296d8e718ad5b440f25b34f9fa39ece632388b3e	AI (double) + owner sample	2026-09-25	ADR 0006
26	verified	2e84c484b3af7dde2c060b78afbbc0301d1e1740b27569da81d944c0dec10cc4	AI (double) + owner sample	2026-09-25	ADR 0006
27	verified	5e275ea89ccf083c5bbf438b0103ceef6e0fe3f867e3952f2709b4a9863f0bac	AI (double) + owner sample	2026-09-25	ADR 0006
28	verified	07722e73ad2d563273e18a7d465e359819465b726ad6f9d0fa52d0872dc2bc0d	AI (double) + owner sample	2026-09-25	ADR 0006
29	verified	9debed279c934f11bf40b282d9b43794e8423c7123978b4b8f5b8a976a2e9ef9	AI (double) + owner sample	2026-09-25	ADR 0006
30	verified	618ec37c8425bd6f0ed73376e01571e1d67e283b767df47f5b2fa1bcb7398e68	AI (double) + owner sample	2026-09-25	ADR 0006
31	verified	1112effdea9ac74ac58efe0838f10ea063e6212857e92b679c412c646e8eb0be	AI (double) + owner sample	2026-09-25	ADR 0006
32	verified	978a842e8b50ed8b527336c4d83c0faf1f48d8b3a5086153950400aeb3f447c7	AI (double) + owner sample	2026-09-25	ADR 0006
