ayah	status	sha256	reviewer	date	note
1	verified	10fb25d0ea3614a72359602d555044e4da95c5b2acb4664b36477ec46302f7af	AI (double) + owner sample	2026-09-25	ADR 0006
2	verified	ad87edbd50455e7aa19473025a27af627ddbe0f6a57159c28cab9f1cb00e4f84	AI (double) + owner sample	2026-09-25	ADR 0006
3	verified	6d4cd9b4165a5a8d65b56010cca031d6600cd3a1b97b5e07f7c8a6df52e0f0bb	AI (double) + owner sample	2026-09-25	ADR 0006
4	verified	87d77de6a13122cedfc237f2c9442f55846d2ce95bf7c0091c8a0032574ce79f	AI (double) + owner sample	2026-09-25	ADR 0006
5	verified	886bd29f85bd093bbc663966f74596f51a14d6f6efa6d3dbf6075777a9cd12a8	AI (double) + owner sample	2026-09-25	ADR 0006
6	verified	9146ce246bfb1039c0d48e0fd95624b85547ddf279e7144dda9b7483a7c85dd3	AI (double) + owner sample	2026-09-25	ADR 0006
7	verified	58af56fde5d0ae4a71dd9911fdec56c96f85572f5b69f08520d095c169be52d5	AI (double) + owner sample	2026-09-25	ADR 0006
8	verified	9c1693e4ffa1c9bb563a97d149025dfb1d982a55e4770493eb211a37b6a211fe	AI (double) + owner sample	2026-09-25	ADR 0006
9	verified	05b437085d4746e6e2eb40e65afdce84b189c1789d8f18535d740d63c1f0a106	AI (double) + owner sample	2026-09-25	ADR 0006
10	verified	463665759fd8e54118d10a8bee1565d49bb2acf78b31561d4f5df1df1b6c3c64	AI (double) + owner sample	2026-09-25	ADR 0006
11	verified	45e471515af192106b908efaa6e1071b7aa33377449f08747cf1694f16fb30b7	AI (double) + owner sample	2026-09-25	ADR 0006
12	verified	2c69097a1d9b7a64acedc20ccda16c25ff0ffdccf84c17e9da6b571fdbda855b	AI (double) + owner sample	2026-09-25	ADR 0006
13	verified	46bbb98b4801dd4bc6807c7ea36482323304a05703721c34f58b693ac3434942	AI (double) + owner sample	2026-09-25	ADR 0006
14	verified	576b21c6f427f9fb8d29fb323f92615270d125a0938225831c53fbcd7a4e04d4	AI (double) + owner sample	2026-09-25	ADR 0006
15	verified	2e9ae112a960bc6dd6640a183d3f2fda3eca2494e5b21a8fda3691eee5b49cc6	AI (double) + owner sample	2026-09-25	ADR 0006
16	verified	d6fc766e5c199de7ab770353d74d67ae9de3aed0541e04b15fecfbd038085851	AI (double) + owner sample	2026-09-25	ADR 0006
17	verified	1a6c2e3d838fb2a4e1eab4e56810160c84c6405a205c4803bd6dfc9a53ff3e48	AI (double) + owner sample	2026-09-25	ADR 0006
18	verified	38ecffc908290c31bb97085881db92ac7466e60bd2e4bf039fca6814220a043d	AI (double) + owner sample	2026-09-25	ADR 0006
19	verified	b90f52559f0d06a4a4a0a08acfa0d9770dfff7eae8907e8556e5a66008569280	AI (double) + owner sample	2026-09-25	ADR 0006
20	verified	0a4bd4ff2da56596416a3e255c93655adf01c42769c840a1e7b83224978daf3f	AI (double) + owner sample	2026-09-25	ADR 0006
21	verified	314fff5336dc4f442b653a19500ee98db24dbbbe2184433492d93bf95a39117e	AI (double) + owner sample	2026-09-25	ADR 0006
22	verified	d84ece96fb0403d1afb2894257a7450b2253111d9829db7fc008469b27f5e1d5	AI (double) + owner sample	2026-09-25	ADR 0006
23	verified	831034fdceb4c38e4720398f4424174fb07e73e63a8be9a9383796d0f671efe3	AI (double) + owner sample	2026-09-25	ADR 0006
24	verified	95b485369c6d401affa01f09da57a514e44f0bc8036482b7158d5dc4ae83069d	AI (double) + owner sample	2026-09-25	ADR 0006
25	verified	72712fa09ba9c0cb629fc4e48551c872fea75177fbc44083e1308611a579ed3c	AI (double) + owner sample	2026-09-25	ADR 0006
26	verified	9056a2b2d6b6a97b6fabbc8516c9254455befc90a5646053893cd494492e54b2	AI (double) + owner sample	2026-09-25	ADR 0006
27	verified	945ce1021f9fb3402fab4c1b7c9fd62da61c324e19eabda5914063de92bb60e3	AI (double) + owner sample	2026-09-25	ADR 0006
28	verified	db3bda9fbfb76d44156cbdd722e4e5eeb3e741e14c1b07c77e5b71bc31aaf578	AI (double) + owner sample	2026-09-25	ADR 0006
29	verified	5ce36a6699e7dc3312f389d0354819a3add70554d40df735cf0827971880d02d	AI (double) + owner sample	2026-09-25	ADR 0006
30	verified	2c6d142699e6127d4b1435556f52235e670f104f7ecc3e1d869354599e72319f	AI (double) + owner sample	2026-09-25	ADR 0006
31	verified	7b235627b44c6e4333bf8e153f367b512d14eaf35db948fce1cbe5471db0b99f	AI (double) + owner sample	2026-09-25	ADR 0006
32	verified	b797f7d7ab10190945f707e0ab472972c42ee132e3622221b3873b300e3d4c6f	AI (double) + owner sample	2026-09-25	ADR 0006
33	verified	5da76d7e14e2f92c8045ccc10ea4d28404011ba358f102510ab6a7d751a2faa5	AI (double) + owner sample	2026-09-25	ADR 0006
34	verified	5b2f791987195d4604e5bc8d2c8fea567e48cbd638bdd4d215ca6f5258fe1b56	AI (double) + owner sample	2026-09-25	ADR 0006
35	verified	9f28248d32ec86efae5f8af5b9c73f65ebb1418a9d188fc497e270a43a975196	AI (double) + owner sample	2026-09-25	ADR 0006
36	verified	68db0177fd0cc21f8ead348f98194245bef7a0cecf77d3e4a57a5156ac1f37e3	AI (double) + owner sample	2026-09-25	ADR 0006
37	verified	f5797acc10e0305727a0665d7ec760d1911ea6f1ef7e2d27cfa481d157e205ae	AI (double) + owner sample	2026-09-25	ADR 0006
38	verified	3ecb61e99d8c17880f311420deedb4eddac43a7fa340671f14ac54daf8924deb	AI (double) + owner sample	2026-09-25	ADR 0006
39	verified	934c86c31b9b2c8db2354a9ee8c28ddae71099761c7e4e9839109b6ca133ecaa	AI (double) + owner sample	2026-09-25	ADR 0006
40	verified	8e36e923480b64f66e5a34d2e147043bd6412d6bc66bbe5470d290064389a75e	AI (double) + owner sample	2026-09-25	ADR 0006
41	verified	690ce5226049a19ad009be52da72970404e0248a0e14f92f6d2ae546c364c317	AI (double) + owner sample	2026-09-25	ADR 0006
42	verified	efc9a06c629227d7aff9df210f93f4e27740c1a2bc70d164a5ddb11d8807ee9d	AI (double) + owner sample	2026-09-25	ADR 0006
43	verified	5c6f02d4f1a8d4d2ef719fb6980299b656a941272bcbee6d375653ee53620507	AI (double) + owner sample	2026-09-25	ADR 0006
44	verified	1b75c8861c45ae26de309db5b7beee87467a1a037919fe2c070c96f2ad9d9622	AI (double) + owner sample	2026-09-25	ADR 0006
45	verified	380ed3889f194a93264fb5c72a3e6f401f0792004045d72b50f2d40ba37b5435	AI (double) + owner sample	2026-09-25	ADR 0006
46	verified	2e3e16cb44163a1142fef8a7fb9c8b033618231c5045f535f79238e20d1b3e0d	AI (double) + owner sample	2026-09-25	ADR 0006
47	verified	fe0f037154c3dd7a64ef7bbf2bb15cf36dc99051065dbc6f9bcc9af78bbeb60e	AI (double) + owner sample	2026-09-25	ADR 0006
48	verified	0c769f1fec112b3e991a23193b6487ffe3947f4b90c56ea380a8865f6d0797fd	AI (double) + owner sample	2026-09-25	ADR 0006
49	verified	49d513a15ad5e3ea5c4ee36ae88a3c073ffe368b1a86871b57a9ba0a35a7d1b8	AI (double) + owner sample	2026-09-25	ADR 0006
50	verified	2e51381bdd609f884ac937fbf9e3a91c4ca442511c605e4e35bb3526b76c4da2	AI (double) + owner sample	2026-09-25	ADR 0006
51	verified	0df2539c215dd3ceb8387f972ae157cd0bcc3918ed5f7ff4dc94bb278b4315d0	AI (double) + owner sample	2026-09-25	ADR 0006
52	verified	aaf44b8b79ab2ffe73ee17c50a820f68b66bea7c6b93ef8843a1431d437b2409	AI (double) + owner sample	2026-09-25	ADR 0006
53	verified	6603d89d158488ee8118e2b88ee9df5db5f58b62a720fff20abf036c10ffe538	AI (double) + owner sample	2026-09-25	ADR 0006
54	verified	3542e56ad761cdce04a7b713ae83bd4e97bf52b81b8846b659e80d1f5f5606dc	AI (double) + owner sample	2026-09-25	ADR 0006
55	verified	f29269a2941920004fe1469e49948b82afd569f4e8c415dd3b8f40e2191a0b29	AI (double) + owner sample	2026-09-25	ADR 0006
56	verified	2bbc860d04e88ccf4be734c598a2947e2aa81705e3732c872d1ec2fb747e8886	AI (double) + owner sample	2026-09-25	ADR 0006
